Id,Cod_pb,E_t,S_t_c_v_kgs,Rec_kgs,G_ti_kgs,Merm_kgs,Dif_pb_stc_kgs,Criterio
392,DCP,1,11.11,0,0,0.155,0.02,BA
393,DCP,1,12.86,0,0,0.18,0.02,BA
394,DCP,1,6.325,0,0.255,0.06,0.155,BA
395,DCP,1,6.635,0,0.275,0.275,0.075,MA
396,DCP,2,11.5,0,0.06,0.18,0.035,BA
397,DCP,2,12.69,0,0.335,0.27,0.005,BA
398,DCP,2,6.2,0,0,0.05,0.065,BA
399,DCP,2,4.3,0,0,0.85,0.045,MA
400,DCP,2,5.3,0,0,0.05,0.08,BA
401,DCP,2,5.1,0,0,0.045,0.015,BA
402,DCP,2,5.2,0,0,0.075,0.09,BA
403,DCP,2,5.6,0,0,0.07,0.09,BA
404,DCP,2,5.51,0,0,0.065,0.005,BA
405,DCP,2,7,0,0,0.065,0.035,BA
406,DCP,2,6.8,0,0,0.1,0.04,BA
407,DCP,2,7.1,0,0.04,0.165,0.02,BA
408,DCP,2,7.2,0,0.08,0.2,0.045,BA
409,DCP,2,7.4,0,0,0.22,0.045,BA
410,DCP,2,10.86,0,0,0.165,0.005,BA
411,DCP,2,12.58,0,0,0.215,0.005,BA
412,DCP,2,12.65,0,0,0.205,0.005,BA
413,DCP,2,6.4,0,0,0.36,0.015,MA
414,DCP,2,7.5,0,0.11,0.55,0.005,MA
415,DCP,2,10.7,0,0.64,0.62,0.06,MA
416,DCP,2,9.46,0,0.3,0.145,0.025,BA
417,DCP,2,11.55,0,0.405,0.2,0.015,BA
418,DCP,2,9.05,0,0.34,0.12,0.055,BA
419,DCP,2,9.33,0,0.4,0.12,0.025,BA
420,DCP,2,10.965,0,0.215,0.14,0.015,BA
421,DCP,2,6.945,0,0.165,0.15,0.02,BA
422,DCP,1,9.115,0,0.47,0.17,0.025,BA
423,DCP,1,8.07,0,0.13,0.13,0.03,BA
424,DCP,1,8.675,0,0.38,0.155,0.05,BA
425,DCP,1,8.355,0,0.345,0.09,0.09,BA
426,DCP,1,10.895,0,0.26,0.135,0.065,BA
427,DCP,1,6.735,0,0,0.045,0.02,BA
428,DCP,1,5.13,0,0,0.045,0,BA
429,DCP,1,4.64,0,0,0.06,0.025,BA
430,DCP,1,6.2,0,0,0.07,0.015,BA
431,DCP,1,6.74,0,0,0.055,0.005,BA
432,DCP,1,5.365,0,0,0.055,0.015,BA
433,DCP,1,9.565,0,0.44,0.135,0.02,BA
434,DCP,1,10.665,0,0.41,0.165,0.025,BA
435,DCP,1,9.68,0,0.445,0.42,0.005,MA
436,DCP,1,10.245,0,0.56,0.145,0.01,MA
437,DCP,1,6.795,0,0,0.14,0.045,BA
438,DCP,1,8.3,0,0,0.29,0.015,BA
439,DCP,1,5.74,0,0,0.425,0.025,MA
440,DCP,1,10.58,0,0.555,0.135,0.015,BA
441,DCP,1,10.77,0,0.43,0.095,0.03,BA
442,DCP,1,9.185,0,0.4,0.18,0.01,BA
443,DCP,1,11.155,0,0.645,0.215,0.03,MA
444,DCP,1,10.445,0,0.63,0.385,0.045,MA
445,DCP,1,9.805,0,0.45,0.19,0.015,BA
446,DCP,1,7.355,0,0,0.035,0.015,BA
447,DCP,1,6.41,0,0,0.035,0.01,BA
448,DCP,1,4.755,0,0,0.05,0.025,BA
449,DCP,1,6.045,0,0,0.04,0.01,BA
450,DCP,1,8.005,0,0,0.045,0.005,BA
451,DCP,1,6.44,0,0,0.05,0.02,BA
452,DCP,1,8.21,0,0,0.095,0,BA
453,DCP,1,11.28,0,0.295,0.15,0.04,BA
454,DCP,1,12.295,0,0.355,0.15,0.03,BA
455,DCP,1,9.035,0,0,0.22,0.035,BA
456,DCP,1,8.85,0,0,0.145,0.005,BA
457,DCP,1,8.65,0,0,0.29,0.015,BA
458,DCP,1,6.25,0,0,0.13,0.005,BA
459,DCP,1,7.75,0,0,0.14,0.01,BA
460,DCP,1,11.46,0,0.79,0.155,0.01,MA
461,DCP,1,12.925,0,0.5,0.13,0.02,BA
462,DCP,1,8.6,0,0.175,0.135,0,BA
463,DCP,1,8.445,0,0.39,0.135,0.025,BA
464,DCP,1,9.175,0,0.17,0.16,0.005,BA
465,DCP,1,7.725,0,0.09,0.085,0.005,BA
466,DCP,1,9.52,0,0.51,0.205,0.015,MA
467,DCP,1,9.38,0,0,0.21,0.03,BA
468,DCP,1,10.455,0,0,0.125,0.02,BA
469,DCP,1,9.71,0,0.085,0.26,0.01,BA
470,DCP,1,8.24,0,0.31,0.18,0.005,BA
471,DCP,1,10.58,0,0.415,0.17,0.02,BA
472,DCP,1,10.15,0,0.3,0.135,0.02,BA
473,DCP,1,12.69,0,0.365,0.135,0.07,BA
474,DCP,1,13.685,0,0.595,0.155,0.02,BA
475,DCP,1,10.72,0,0.325,0.105,0.015,BA
476,DCP,1,9.11,0,0.1,0.1,0.015,BA
477,DCP,1,8.835,0,0,0.11,0.015,BA
478,DCP,1,10.235,0,0.585,0.095,0,MA
479,DCP,1,10.05,0,0.215,0.1,0.02,BA
480,DCP,1,8.67,0,0,0.05,0.06,BA
481,DCP,1,6.485,0,0,0.09,0.01,BA
482,DCP,1,11.155,0,0.345,0.095,0.01,BA
483,DCP,1,9.43,0,0.595,0.08,0.005,MA
484,DCP,1,10.095,0,0.545,0.09,0.01,MA
485,DCP,1,13.355,0,0.535,0.175,0.035,BA
486,DCP,1,13.255,0,0.475,0.125,0.025,BA
487,DCP,1,9.555,0,0.335,0.105,0.01,BA
488,DCP,1,9.15,0,0.455,0.085,0.005,BA
489,DCP,1,13.2,0,0.705,0.345,0.03,MA
